acc,loss,val_acc,val_loss,epoch
0.698459280997799,0.5679114501013182,0.6639004149377593,0.6495155304423011,0
0.7710931768158474,0.4687023314477238,0.6846473029045643,0.5112381500512733,1
0.7798972853998533,0.4398336644986165,0.7468879668049793,0.4387857474896794,2
0.7850330154071901,0.4260843272661887,0.8132780082987552,0.4606169294546594,3
0.8041085840058694,0.40895299541867136,0.7634854771784232,0.42648072785377134,4
0.8158473954512105,0.3916735059604929,0.6929460580912863,0.5151092489346615,5
0.818048422597212,0.3848564977554696,0.7883817427385892,0.4037924284382078,6
0.8165810711665444,0.3759024253742659,0.8008298755186722,0.4057968618112512,7
0.8165810711665444,0.36083735606509454,0.7842323651452282,0.4014332181806927,8
0.8385913426265591,0.35599685421364513,0.8132780082987552,0.40771869574026187,9
