acc,loss,val_acc,val_loss,epoch
0.6742479823917829,0.5800710454233324,0.7344398340248963,0.4986924890166002,0
0.7527512839325018,0.47521441234979483,0.7883817427385892,0.45997247935361635,1
0.7776962582538518,0.4353420096548631,0.7219917012448133,0.4573942626057448,2
0.7791636096845195,0.41504646109223026,0.7717842323651453,0.42599451969690716,3
0.7887013939838592,0.40287409876852476,0.6804979253112033,0.48337374817719103,4
0.8085106382978723,0.3932222872313115,0.7427385892116183,0.4265081734044856,5
0.8129126925898753,0.3811212370383279,0.7883817427385892,0.41076097728325156,6
0.8158473954512105,0.36901959188549655,0.7676348547717843,0.4201286725035223,7
0.8327219369038885,0.3552684373345625,0.8049792531120332,0.42556409905780557,8
0.8187820983125459,0.3556095558737616,0.7759336099585062,0.40144143630151496,9
